58, Self-emp-not-inc, 165315, HS-grad, 9, Married-civ-spouse, Sales, Husband, White, Male, 0, 0, 35, United-States, >50K
31, Private, 177675, Bachelors, 13, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 40, United-States, <=50K
22, Self-emp-not-inc, 199011, HS-grad, 9, Never-married, Craft-repair, Other-relative, White, Male, 0, 0, 20, United-States, <=50K
42, Private, 363591, HS-grad, 9, Divorced, Craft-repair, Unmarried, White, Male, 0, 0, 40, United-States, <=50K
37, Private, 148015, Bachelors, 13, Married-civ-spouse, Prof-specialty, Wife, Black, Female, 15024, 0, 40, United-States, >50K
42, Private, 156580, Bachelors, 13, Married-civ-spouse, Sales, Wife, White, Female, 0, 0, 40, Puerto-Rico, <=50K
38, Private, 184655, HS-grad, 9, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 1740, 48, United-States, <=50K
54, Federal-gov, 127455, Some-college, 10, Married-civ-spouse, Protective-serv, Husband, White, Male, 0, 0, 48, United-States, >50K
18, Private, 118376, Some-college, 10, Never-married, Sales, Own-child, White, Female, 0, 0, 15, United-States, <=50K
37, Self-emp-inc, 291518, Bachelors, 13, Married-civ-spouse, Craft-repair, Husband, White, Male, 15024, 0, 55, United-States, >50K
39, Private, 121590, Some-college, 10, Never-married, Prof-specialty, Not-in-family, Black, Male, 4787, 0, 40, United-States, >50K
41, State-gov, 309056, Doctorate, 16, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 50, United-States, >50K
33, Private, 256211, HS-grad, 9, Married-civ-spouse, Machine-op-inspct, Husband, Asian-Pac-Islander, Male, 0, 0, 40, South, <=50K
52, Private, 174421, Assoc-acdm, 12, Divorced, Prof-specialty, Unmarried, White, Female, 0, 0, 32, United-States, <=50K
26, Private, 147638, Bachelors, 13, Never-married, Adm-clerical, Other-relative, Asian-Pac-Islander, Female, 0, 0, 40, Hong, <=50K
50, Private, 279337, Bachelors, 13, Divorced, Exec-managerial, Not-in-family, White, Male, 0, 0, 55, United-States, >50K
30, Self-emp-not-inc, 180859, Some-college, 10, Never-married, Craft-repair, Own-child, White, Male, 0, 0, 8, United-States, <=50K
54, Private, 156003, HS-grad, 9, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 40, United-States, <=50K
31, Private, 72630, Bachelors, 13, Never-married, Exec-managerial, Not-in-family, White, Male, 14084, 0, 50, United-States, >50K
59, Self-emp-not-inc, 75804, HS-grad, 9, Married-civ-spouse, Farming-fishing, Husband, White, Male, 0, 0, 65, United-States, >50K
65, Federal-gov, 325089, 10th, 6, Divorced, Craft-repair, Unmarried, White, Male, 0, 0, 40, United-States, <=50K
40, Private, 99604, Masters, 14, Married-civ-spouse, Prof-specialty, Wife, White, Female, 15024, 0, 24, United-States, >50K
57, Private, 233382, Masters, 14, Never-married, Exec-managerial, Not-in-family, White, Male, 0, 0, 40, Cuba, <=50K
23, Private, 140915, Some-college, 10, Never-married, Sales, Other-relative, Asian-Pac-Islander, Male, 0, 0, 25, Philippines, <=50K
49, Self-emp-inc, 38819, Bachelors, 13, Married-civ-spouse, Sales, Husband, White, Male, 0, 0, 50, United-States, >50K
50, Federal-gov, 69345, Assoc-acdm, 12, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 60, United-States, <=50K
69, Private, 168139, HS-grad, 9, Married-civ-spouse, Sales, Wife, White, Female, 0, 0, 40, United-States, <=50K
65, Self-emp-inc, 178771, HS-grad, 9, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 40, United-States, <=50K
56, Private, 159724, Some-college, 10, Married-civ-spouse, Transport-moving, Husband, White, Male, 0, 0, 40, United-States, >50K
32, Private, 255885, Bachelors, 13, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 43, United-States, >50K
45, Private, 1366120, Assoc-voc, 11, Divorced, Other-service, Not-in-family, White, Female, 0, 0, 8, United-States, <=50K
37, Private, 95855, HS-grad, 9, Divorced, Protective-serv, Unmarried, White, Female, 0, 0, 40, United-States, <=50K
62, Self-emp-not-inc, 215944, 5th-6th, 3, Married-civ-spouse, Farming-fishing, Husband, White, Male, 0, 0, 30, United-States, <=50K
36, Private, 108997, HS-grad, 9, Divorced, Adm-clerical, Unmarried, White, Female, 0, 0, 40, United-States, <=50K
38, Self-emp-not-inc, 282461, 7th-8th, 4, Married-civ-spouse, Sales, Husband, White, Male, 0, 0, 35, United-States, >50K
20, Private, 190227, Masters, 14, Never-married, Exec-managerial, Own-child, White, Male, 0, 0, 25, United-States, <=50K
19, Private, 277695, Preschool, 1, Never-married, Farming-fishing, Not-in-family, White, Male, 0, 0, 36, Hong, <=50K
30, Self-emp-inc, 84119, Bachelors, 13, Never-married, Exec-managerial, Own-child, White, Male, 0, 0, 43, United-States, <=50K
67, Self-emp-inc, 182581, Some-college, 10, Married-civ-spouse, Exec-managerial, Husband, White, Male, 20051, 0, 20, United-States, >50K
31, Private, 39054, HS-grad, 9, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 20, United-States, <=50K
34, Private, 112820, HS-grad, 9, Separated, Handlers-cleaners, Not-in-family, White, Male, 2463, 0, 40, United-States, <=50K
19, ?, 199495, Some-college, 10, Never-married, ?, Own-child, White, Male, 0, 0, 60, United-States, <=50K
36, Private, 226947, Bachelors, 13, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 40, United-States, >50K
34, Private, 319854, Doctorate, 16, Never-married, Prof-specialty, Not-in-family, White, Male, 0, 0, 40, Taiwan, >50K
36, Private, 29814, HS-grad, 9, Never-married, Transport-moving, Other-relative, White, Male, 0, 0, 50, United-States, <=50K
53, Self-emp-inc, 55139, Masters, 14, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 40, United-States, >50K
41, Self-emp-inc, 32016, HS-grad, 9, Married-civ-spouse, Sales, Husband, White, Male, 0, 0, 62, United-States, <=50K
48, ?, 61985, 9th, 5, Separated, ?, Not-in-family, Amer-Indian-Eskimo, Female, 0, 0, 20, United-States, <=50K
44, Private, 174373, Assoc-acdm, 12, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 40, United-States, >50K
34, Local-gov, 51543, Some-college, 10, Never-married, Other-service, Not-in-family, White, Male, 0, 0, 48, United-States, <=50K
57, Private, 250201, HS-grad, 9, Widowed, Transport-moving, Unmarried, White, Male, 0, 0, 50, United-States, <=50K
24, Private, 100605, Some-college, 10, Never-married, Machine-op-inspct, Own-child, Other, Male, 0, 0, 14, United-States, <=50K
37, Private, 127772, Bachelors, 13, Never-married, Craft-repair, Not-in-family, White, Male, 0, 0, 40, United-States, <=50K
77, Private, 344425, 9th, 5, Married-civ-spouse, Priv-house-serv, Wife, Black, Female, 0, 0, 10, United-States, <=50K
34, Private, 265807, HS-grad, 9, Married-civ-spouse, Transport-moving, Husband, White, Male, 0, 2051, 55, United-States, <=50K
20, Private, 141481, 11th, 7, Married-civ-spouse, Sales, Other-relative, White, Female, 0, 0, 50, United-States, <=50K
42, Private, 162003, Doctorate, 16, Never-married, Prof-specialty, Not-in-family, White, Male, 0, 0, 36, United-States, >50K
32, Private, 140092, 11th, 7, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 40, United-States, <=50K
17, Private, 118792, 11th, 7, Never-married, Sales, Own-child, White, Female, 0, 0, 9, United-States, <=50K
53, Local-gov, 82783, HS-grad, 9, Divorced, Exec-managerial, Not-in-family, White, Male, 0, 0, 40, United-States, <=50K
37, Private, 245053, Some-college, 10, Divorced, Handlers-cleaners, Own-child, White, Male, 0, 1504, 40, United-States, <=50K
22, Private, 94662, Assoc-voc, 11, Never-married, Craft-repair, Not-in-family, White, Male, 0, 0, 44, United-States, <=50K
43, Self-emp-not-inc, 89636, Bachelors, 13, Married-civ-spouse, Sales, Wife, Asian-Pac-Islander, Female, 0, 0, 60, South, <=50K
43, Self-emp-not-inc, 130126, Bachelors, 13, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 40, United-States, >50K
70, ?, 92593, Some-college, 10, Widowed, ?, Not-in-family, White, Female, 0, 0, 25, United-States, <=50K
67, Private, 172756, 1st-4th, 2, Widowed, Machine-op-inspct, Not-in-family, White, Female, 2062, 0, 34, Ecuador, <=50K
38, Local-gov, 116580, Bachelors, 13, Married-civ-spouse, Prof-specialty, Wife, White, Female, 0, 0, 20, United-States, >50K
45, Private, 129336, Masters, 14, Married-civ-spouse, Adm-clerical, Husband, White, Male, 0, 0, 45, United-States, >50K
46, Private, 695411, HS-grad, 9, Divorced, Adm-clerical, Not-in-family, White, Female, 0, 0, 44, United-States, <=50K
21, Private, 154422, Some-college, 10, Never-married, Adm-clerical, Own-child, Asian-Pac-Islander, Female, 0, 0, 40, United-States, <=50K
19, Private, 256979, HS-grad, 9, Never-married, Craft-repair, Other-relative, White, Male, 0, 0, 35, United-States, <=50K
35, Private, 67083, HS-grad, 9, Married-civ-spouse, Other-service, Husband, Asian-Pac-Islander, Male, 0, 0, 40, China, <=50K
36, Self-emp-not-inc, 109133, Bachelors, 13, Married-civ-spouse, Sales, Husband, White, Male, 0, 0, 50, United-States, >50K
45, Private, 172274, Doctorate, 16, Divorced, Prof-specialty, Unmarried, Black, Female, 0, 3004, 35, United-States, >50K
36, Self-emp-not-inc, 36270, HS-grad, 9, Divorced, Transport-moving, Not-in-family, White, Male, 0, 0, 60, United-States, <=50K
55, ?, 103654, HS-grad, 9, Widowed, ?, Not-in-family, White, Female, 0, 0, 20, United-States, <=50K
66, ?, 190324, HS-grad, 9, Married-civ-spouse, ?, Husband, Black, Male, 0, 0, 18, United-States, <=50K
47, State-gov, 141483, 9th, 5, Divorced, Other-service, Not-in-family, White, Female, 0, 0, 40, United-States, <=50K
33, Private, 185480, Bachelors, 13, Never-married, Prof-specialty, Not-in-family, White, Female, 0, 0, 45, United-States, <=50K
64, ?, 257790, HS-grad, 9, Divorced, ?, Unmarried, White, Female, 0, 0, 38, United-States, <=50K
39, Private, 225605, HS-grad, 9, Married-civ-spouse, Farming-fishing, Husband, White, Male, 0, 0, 24, United-States, <=50K
51, Private, 441637, HS-grad, 9, Married-civ-spouse, Tech-support, Husband, White, Male, 0, 0, 40, United-States, <=50K
37, Private, 105803, HS-grad, 9, Married-civ-spouse, Handlers-cleaners, Husband, White, Male, 0, 0, 40, United-States, <=50K
45, State-gov, 263982, Some-college, 10, Divorced, Prof-specialty, Unmarried, White, Female, 0, 0, 40, United-States, <=50K
42, Private, 91836, 10th, 6, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 40, United-States, <=50K
38, Private, 103456, Bachelors, 13, Separated, Prof-specialty, Unmarried, White, Male, 0, 0, 40, United-States, <=50K
20, Private, 290504, HS-grad, 9, Never-married, Other-service, Other-relative, White, Male, 0, 0, 40, United-States, <=50K
36, Private, 242713, HS-grad, 9, Divorced, Adm-clerical, Unmarried, Black, Female, 0, 0, 40, ?, <=50K
41, Private, 65372, Doctorate, 16, Divorced, Sales, Unmarried, White, Female, 0, 0, 50, United-States, >50K
52, Private, 131631, 11th, 7, Separated, Machine-op-inspct, Unmarried, Black, Male, 0, 0, 40, United-States, <=50K
30, Private, 170154, Bachelors, 13, Never-married, Tech-support, Not-in-family, White, Female, 0, 0, 40, United-States, >50K
28, Private, 213276, HS-grad, 9, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 50, United-States, <=50K
56, Private, 197114, HS-grad, 9, Never-married, Handlers-cleaners, Own-child, White, Male, 0, 0, 28, United-States, <=50K
24, Private, 241367, Some-college, 10, Never-married, Other-service, Not-in-family, White, Male, 0, 0, 40, United-States, <=50K
39, Private, 98948, Assoc-acdm, 12, Never-married, Sales, Not-in-family, White, Female, 0, 0, 40, United-States, <=50K
21, Private, 57916, HS-grad, 9, Separated, Farming-fishing, Own-child, White, Male, 0, 0, 40, United-States, <=50K
40, Private, 192381, Some-college, 10, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 50, United-States, >50K
35, Private, 79050, HS-grad, 9, Never-married, Transport-moving, Unmarried, Black, Male, 0, 0, 72, United-States, <=50K
45, Private, 220213, HS-grad, 9, Widowed, Craft-repair, Not-in-family, White, Female, 0, 0, 40, United-States, <=50K
24, Private, 142227, Bachelors, 13, Never-married, Adm-clerical, Not-in-family, White, Female, 0, 0, 30, United-States, <=50K
57, Federal-gov, 414994, Some-college, 10, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 40, United-States, >50K
35, Private, 153790, Some-college, 10, Never-married, Sales, Not-in-family, Amer-Indian-Eskimo, Female, 0, 0, 40, United-States, <=50K
34, Local-gov, 43959, HS-grad, 9, Married-civ-spouse, Other-service, Husband, White, Male, 0, 0, 50, United-States, <=50K
35, Private, 401930, HS-grad, 9, Married-civ-spouse, Adm-clerical, Wife, White, Female, 0, 1887, 42, United-States, >50K
29, Private, 59732, HS-grad, 9, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Male, 0, 0, 40, United-States, <=50K
48, Private, 212954, Some-college, 10, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 60, United-States, >50K
27, Self-emp-not-inc, 114225, Some-college, 10, Never-married, Exec-managerial, Not-in-family, White, Male, 0, 0, 60, United-States, >50K
20, Private, 117476, Some-college, 10, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 40, United-States, <=50K
27, ?, 181284, 12th, 8, Married-civ-spouse, ?, Husband, Black, Male, 0, 0, 45, United-States, <=50K
21, Private, 314182, HS-grad, 9, Never-married, Other-service, Not-in-family, White, Female, 0, 0, 40, United-States, <=50K
61, Private, 40269, Some-college, 10, Married-civ-spouse, Sales, Husband, White, Male, 0, 0, 40, United-States, >50K
41, Private, 122215, Masters, 14, Married-civ-spouse, Prof-specialty, Husband, White, Male, 15024, 0, 40, United-States, >50K
52, Private, 29658, HS-grad, 9, Married-civ-spouse, Adm-clerical, Husband, White, Male, 0, 0, 40, United-States, <=50K
27, Private, 229803, HS-grad, 9, Never-married, Craft-repair, Own-child, Black, Male, 0, 0, 40, United-States, <=50K
42, Private, 202188, Some-college, 10, Divorced, Exec-managerial, Not-in-family, White, Female, 0, 1741, 50, United-States, <=50K
31, Private, 186144, 7th-8th, 4, Never-married, Machine-op-inspct, Not-in-family, Other, Female, 0, 0, 40, Mexico, <=50K
17, Private, 166290, 9th, 5, Never-married, Other-service, Own-child, White, Female, 0, 0, 20, United-States, <=50K
40, Private, 266803, Assoc-acdm, 12, Divorced, Exec-managerial, Not-in-family, White, Female, 0, 0, 40, United-States, >50K
57, Private, 173796, HS-grad, 9, Married-civ-spouse, Transport-moving, Husband, White, Male, 0, 1887, 40, United-States, >50K
51, Private, 237630, HS-grad, 9, Married-civ-spouse, Tech-support, Husband, White, Male, 7298, 0, 50, United-States, >50K
24, Private, 172496, Bachelors, 13, Never-married, Tech-support, Not-in-family, White, Male, 0, 0, 55, United-States, <=50K
34, Private, 188096, HS-grad, 9, Never-married, Adm-clerical, Not-in-family, White, Female, 0, 0, 36, United-States, <=50K
27, Private, 146460, Some-college, 10, Never-married, Machine-op-inspct, Not-in-family, White, Female, 0, 0, 40, United-States, <=50K
24, Private, 381895, 11th, 7, Divorced, Machine-op-inspct, Unmarried, White, Female, 0, 0, 40, United-States, <=50K
19, Private, 274657, 5th-6th, 3, Never-married, Other-service, Not-in-family, White, Male, 0, 0, 50, Guatemala, <=50K
38, Private, 277347, HS-grad, 9, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 50, United-States, <=50K
38, Federal-gov, 207066, HS-grad, 9, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 42, United-States, >50K
38, Private, 111499, HS-grad, 9, Married-civ-spouse, Sales, Husband, White, Male, 0, 1977, 99, United-States, >50K
24, Private, 281221, Bachelors, 13, Never-married, Adm-clerical, Other-relative, Asian-Pac-Islander, Female, 0, 0, 40, Taiwan, <=50K
30, Private, 162442, Bachelors, 13, Married-civ-spouse, Prof-specialty, Wife, White, Female, 7688, 0, 50, United-States, >50K
61, Self-emp-not-inc, 221884, Some-college, 10, Married-civ-spouse, Adm-clerical, Husband, White, Male, 0, 0, 50, United-States, >50K
44, Private, 111483, HS-grad, 9, Never-married, Adm-clerical, Own-child, White, Male, 0, 1504, 50, United-States, <=50K
48, Private, 207946, HS-grad, 9, Divorced, Adm-clerical, Unmarried, White, Female, 0, 0, 52, United-States, <=50K
47, Private, 158286, Masters, 14, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 50, United-States, >50K
38, State-gov, 103925, HS-grad, 9, Divorced, Other-service, Unmarried, White, Female, 2036, 0, 20, United-States, <=50K
20, Private, 89991, Some-college, 10, Never-married, Other-service, Own-child, White, Female, 0, 0, 32, United-States, <=50K
51, Private, 194097, HS-grad, 9, Married-civ-spouse, Protective-serv, Husband, White, Male, 0, 0, 40, United-States, <=50K
45, Self-emp-not-inc, 43434, Bachelors, 13, Never-married, Exec-managerial, Not-in-family, White, Female, 0, 0, 40, United-States, <=50K
36, Self-emp-not-inc, 328466, 5th-6th, 3, Married-civ-spouse, Transport-moving, Husband, White, Male, 0, 0, 50, Mexico, >50K
37, Private, 170174, HS-grad, 9, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 46, United-States, >50K
22, ?, 199426, Some-college, 10, Never-married, ?, Not-in-family, White, Female, 0, 0, 40, United-States, <=50K
29, Private, 94892, Some-college, 10, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 40, United-States, <=50K
54, Self-emp-not-inc, 269068, Prof-school, 15, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male, 99999, 0, 50, Philippines, >50K
29, Private, 246974, Assoc-voc, 11, Never-married, Tech-support, Not-in-family, White, Male, 0, 0, 40, United-States, <=50K
69, Local-gov, 197288, HS-grad, 9, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 35, United-States, <=50K
33, Self-emp-not-inc, 67482, Assoc-voc, 11, Divorced, Other-service, Unmarried, White, Female, 0, 0, 99, United-States, <=50K
40, State-gov, 195520, Some-college, 10, Never-married, Adm-clerical, Unmarried, Black, Female, 0, 0, 49, United-States, <=50K
17, Local-gov, 148194, 11th, 7, Never-married, Adm-clerical, Own-child, White, Female, 0, 0, 12, United-States, <=50K
48, Private, 344415, Bachelors, 13, Married-spouse-absent, Prof-specialty, Not-in-family, White, Male, 0, 0, 37, United-States, >50K
50, Private, 338033, Some-college, 10, Never-married, Other-service, Not-in-family, White, Male, 0, 0, 32, United-States, <=50K
25, Private, 209970, Bachelors, 13, Never-married, Prof-specialty, Not-in-family, White, Female, 0, 0, 40, United-States, <=50K
30, Private, 203488, Some-college, 10, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, 0, 0, 40, United-States, >50K
41, Self-emp-inc, 73431, Bachelors, 13, Widowed, Prof-specialty, Unmarried, White, Female, 0, 0, 40, United-States, <=50K
37, Private, 126708, HS-grad, 9, Married-civ-spouse, Adm-clerical, Wife, White, Female, 0, 0, 60, United-States, <=50K
29, Self-emp-not-inc, 70604, HS-grad, 9, Married-civ-spouse, Farming-fishing, Husband, White, Male, 3464, 0, 40, United-States, <=50K
32, Private, 111836, Some-college, 10, Married-civ-spouse, Other-service, Husband, Black, Male, 0, 0, 50, United-States, <=50K
43, Private, 102895, Some-college, 10, Divorced, Prof-specialty, Not-in-family, White, Male, 0, 0, 40, United-States, <=50K
21, State-gov, 166704, Some-college, 10, Never-married, Other-service, Own-child, White, Female, 0, 0, 14, United-States, <=50K
68, ?, 117542, HS-grad, 9, Married-civ-spouse, ?, Husband, White, Male, 1409, 0, 15, United-States, <=50K
31, Private, 196791, Prof-school, 15, Divorced, Prof-specialty, Not-in-family, White, Female, 0, 0, 45, United-States, >50K
58, Private, 241056, Some-college, 10, Divorced, Adm-clerical, Unmarried, White, Female, 0, 0, 46, United-States, <=50K
35, Private, 272476, Assoc-acdm, 12, Married-civ-spouse, Other-service, Wife, White, Female, 0, 0, 35, United-States, >50K
21, Private, 198259, Some-college, 10, Never-married, Adm-clerical, Own-child, White, Female, 0, 0, 15, United-States, <=50K
47, Private, 238185, Bachelors, 13, Divorced, Adm-clerical, Not-in-family, White, Female, 0, 0, 40, United-States, <=50K
33, Private, 170769, Doctorate, 16, Divorced, Sales, Not-in-family, White, Male, 99999, 0, 60, United-States, >50K
18, Private, 92864, 12th, 8, Never-married, Other-service, Own-child, White, Female, 0, 0, 20, United-States, <=50K
78, Self-emp-inc, 212660, 11th, 7, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 10, United-States, <=50K
45, Private, 266860, Bachelors, 13, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 50, United-States, >50K
31, Private, 110554, HS-grad, 9, Married-civ-spouse, Machine-op-inspct, Wife, White, Female, 4386, 0, 40, United-States, >50K
62, Private, 91433, 10th, 6, Divorced, Prof-specialty, Unmarried, White, Female, 0, 0, 40, United-States, <=50K
24, Private, 203518, Bachelors, 13, Never-married, Prof-specialty, Not-in-family, White, Female, 0, 0, 40, United-States, <=50K
38, Private, 175972, Some-college, 10, Married-civ-spouse, Other-service, Wife, White, Female, 0, 0, 40, United-States, <=50K
33, Private, 124052, HS-grad, 9, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 40, United-States, <=50K
41, Local-gov, 107327, Assoc-voc, 11, Divorced, Prof-specialty, Unmarried, White, Female, 0, 0, 40, United-States, <=50K
43, Private, 223277, Some-college, 10, Divorced, Craft-repair, Not-in-family, White, Male, 0, 0, 40, United-States, <=50K
51, Private, 82566, HS-grad, 9, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 50, United-States, <=50K
20, Private, 111697, Some-college, 10, Never-married, Adm-clerical, Own-child, White, Female, 0, 1719, 28, United-States, <=50K
56, Private, 56331, HS-grad, 9, Never-married, Machine-op-inspct, Not-in-family, White, Male, 0, 0, 32, United-States, <=50K
36, Private, 181322, Bachelors, 13, Divorced, Exec-managerial, Not-in-family, White, Female, 0, 0, 45, United-States, <=50K
65, Private, 209831, Assoc-voc, 11, Married-civ-spouse, Adm-clerical, Wife, White, Female, 0, 0, 40, United-States, <=50K
54, Private, 174865, 9th, 5, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 45, United-States, >50K
32, Local-gov, 118457, Bachelors, 13, Never-married, Prof-specialty, Not-in-family, White, Male, 0, 0, 55, United-States, <=50K
25, Local-gov, 198813, Bachelors, 13, Never-married, Adm-clerical, Other-relative, Black, Female, 0, 0, 40, United-States, <=50K
45, Private, 89325, Masters, 14, Divorced, Prof-specialty, Not-in-family, White, Male, 0, 0, 45, United-States, <=50K
37, Self-emp-inc, 342084, Some-college, 10, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 60, United-States, >50K
45, Private, 297676, Assoc-acdm, 12, Widowed, Sales, Unmarried, White, Female, 0, 0, 40, Cuba, <=50K
22, Private, 199419, HS-grad, 9, Married-civ-spouse, Sales, Wife, White, Female, 0, 0, 40, United-States, <=50K
48, Private, 498328, 10th, 6, Married-civ-spouse, Transport-moving, Husband, Black, Male, 0, 0, 40, United-States, <=50K
34, Private, 236318, HS-grad, 9, Never-married, Machine-op-inspct, Unmarried, White, Male, 0, 0, 40, United-States, <=50K
33, Private, 162572, HS-grad, 9, Married-civ-spouse, Transport-moving, Husband, White, Male, 0, 0, 55, United-States, >50K
52, Local-gov, 43909, HS-grad, 9, Divorced, Adm-clerical, Unmarried, Black, Female, 0, 0, 40, United-States, <=50K
43, State-gov, 308498, HS-grad, 9, Married-spouse-absent, Exec-managerial, Unmarried, White, Female, 0, 0, 40, United-States, <=50K
21, ?, 175166, Some-college, 10, Never-married, ?, Own-child, White, Female, 2176, 0, 40, United-States, <=50K
40, Private, 95639, HS-grad, 9, Never-married, Craft-repair, Not-in-family, Amer-Indian-Eskimo, Male, 0, 0, 40, United-States, <=50K
29, Local-gov, 383745, Some-college, 10, Married-civ-spouse, Protective-serv, Husband, White, Male, 0, 1485, 40, United-States, >50K
50, Private, 33304, HS-grad, 9, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 40, United-States, >50K
55, Federal-gov, 305850, Prof-school, 15, Married-civ-spouse, Exec-managerial, Husband, White, Male, 15024, 0, 40, United-States, >50K
39, Private, 237713, Prof-school, 15, Married-civ-spouse, Sales, Husband, White, Male, 0, 2415, 99, United-States, >50K
30, Private, 297155, Some-college, 10, Divorced, Adm-clerical, Unmarried, Black, Female, 0, 0, 40, United-States, <=50K
33, Self-emp-not-inc, 58702, Assoc-voc, 11, Married-civ-spouse, Prof-specialty, Wife, White, Female, 3103, 0, 50, United-States, >50K
