29, Private, 137063, HS-grad, 9, Never-married, Sales, Unmarried, White, Male, 0, 0, 38, United-States, <=50K
20, ?, 81853, Some-college, 10, Never-married, ?, Own-child, Asian-Pac-Islander, Female, 0, 0, 15, United-States, <=50K
33, Local-gov, 70164, Bachelors, 13, Never-married, Prof-specialty, Not-in-family, Amer-Indian-Eskimo, Male, 0, 0, 60, United-States, <=50K
35, Private, 265954, Bachelors, 13, Never-married, Handlers-cleaners, Not-in-family, Black, Male, 0, 0, 40, United-States, <=50K
25, State-gov, 152503, Some-college, 10, Never-married, Tech-support, Not-in-family, Black, Male, 0, 0, 40, United-States, <=50K
28, Private, 535978, Some-college, 10, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 40, United-States, >50K
36, Private, 137421, 12th, 8, Never-married, Transport-moving, Not-in-family, Asian-Pac-Islander, Male, 0, 0, 45, ?, <=50K
57, Private, 342906, 9th, 5, Married-civ-spouse, Sales, Husband, Black, Male, 0, 0, 55, United-States, >50K
20, Private, 431745, Some-college, 10, Never-married, Adm-clerical, Not-in-family, Black, Female, 0, 0, 14, United-States, <=50K
45, Private, 259323, Some-college, 10, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 40, United-States, <=50K
22, Private, 147253, Some-college, 10, Never-married, Other-service, Not-in-family, White, Male, 0, 0, 15, United-States, <=50K
29, Private, 131088, HS-grad, 9, Never-married, Handlers-cleaners, Own-child, White, Male, 0, 0, 25, United-States, <=50K
32, Private, 383269, Bachelors, 13, Never-married, Exec-managerial, Unmarried, White, Female, 0, 0, 40, United-States, <=50K
44, Private, 77313, Some-college, 10, Divorced, Adm-clerical, Unmarried, White, Female, 0, 0, 38, United-States, <=50K
54, Private, 329266, HS-grad, 9, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 44, United-States, >50K
22, Private, 228752, HS-grad, 9, Never-married, Handlers-cleaners, Not-in-family, White, Male, 0, 0, 40, United-States, <=50K
23, Private, 82998, Some-college, 10, Never-married, Sales, Not-in-family, White, Male, 0, 0, 30, United-States, <=50K
35, Private, 169638, Some-college, 10, Divorced, Sales, Unmarried, White, Female, 0, 0, 36, United-States, <=50K
49, Private, 202053, HS-grad, 9, Divorced, Sales, Not-in-family, White, Female, 0, 0, 32, United-States, <=50K
26, Private, 245465, Assoc-acdm, 12, Never-married, Sales, Own-child, White, Male, 0, 0, 30, United-States, <=50K
39, Self-emp-not-inc, 326400, Masters, 14, Never-married, Prof-specialty, Not-in-family, White, Male, 0, 0, 40, United-States, <=50K
22, Local-gov, 50065, Bachelors, 13, Never-married, Prof-specialty, Not-in-family, White, Female, 0, 0, 35, United-States, <=50K
46, Local-gov, 226871, Bachelors, 13, Divorced, Protective-serv, Not-in-family, Black, Male, 0, 0, 50, United-States, >50K
50, Federal-gov, 176969, HS-grad, 9, Divorced, Prof-specialty, Not-in-family, White, Male, 0, 1590, 40, United-States, <=50K
40, Self-emp-not-inc, 284706, Prof-school, 15, Married-civ-spouse, Prof-specialty, Husband, Amer-Indian-Eskimo, Male, 0, 1977, 60, United-States, >50K
21, Private, 282484, Some-college, 10, Never-married, Other-service, Own-child, White, Female, 0, 0, 40, United-States, <=50K
45, Private, 97842, Some-college, 10, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, 0, 0, 65, United-States, <=50K
17, ?, 210547, 10th, 6, Never-married, ?, Own-child, White, Male, 0, 0, 40, United-States, <=50K
35, Private, 330664, Some-college, 10, Never-married, Sales, Not-in-family, White, Male, 0, 0, 40, United-States, <=50K
54, Private, 167770, HS-grad, 9, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 1902, 55, United-States, >50K
22, Private, 356567, Assoc-voc, 11, Divorced, Tech-support, Not-in-family, White, Male, 0, 0, 60, United-States, <=50K
33, Private, 133503, HS-grad, 9, Married-civ-spouse, Protective-serv, Husband, White, Male, 2635, 0, 16, United-States, <=50K
25, Private, 195994, 1st-4th, 2, Never-married, Priv-house-serv, Not-in-family, White, Female, 0, 0, 40, Guatemala, <=50K
24, ?, 377725, Bachelors, 13, Never-married, ?, Not-in-family, White, Female, 0, 0, 40, United-States, <=50K
19, Private, 168294, HS-grad, 9, Never-married, Craft-repair, Own-child, White, Male, 0, 0, 40, United-States, <=50K
33, Self-emp-not-inc, 134737, HS-grad, 9, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 35, United-States, <=50K
56, Private, 170070, HS-grad, 9, Married-civ-spouse, Exec-managerial, Wife, White, Female, 0, 0, 40, United-States, >50K
71, Private, 105200, HS-grad, 9, Married-civ-spouse, Protective-serv, Husband, White, Male, 6767, 0, 20, United-States, <=50K
38, Private, 223004, Some-college, 10, Never-married, Other-service, Own-child, White, Male, 0, 0, 40, United-States, <=50K
37, Private, 233571, Assoc-voc, 11, Married-civ-spouse, Tech-support, Wife, White, Female, 0, 0, 37, United-States, >50K
52, ?, 248113, Preschool, 1, Married-spouse-absent, ?, Other-relative, White, Male, 0, 0, 40, Mexico, <=50K
73, ?, 84390, Assoc-voc, 11, Married-spouse-absent, ?, Not-in-family, White, Female, 0, 0, 32, United-States, <=50K
24, Private, 379066, Some-college, 10, Never-married, Adm-clerical, Not-in-family, White, Male, 0, 2205, 24, United-States, <=50K
29, ?, 297054, HS-grad, 9, Divorced, ?, Not-in-family, White, Male, 0, 0, 40, United-States, <=50K
35, Private, 361888, Assoc-acdm, 12, Married-civ-spouse, Tech-support, Husband, White, Male, 0, 0, 40, United-States, >50K
37, Private, 267085, Some-college, 10, Married-civ-spouse, Adm-clerical, Husband, White, Male, 0, 0, 40, United-States, <=50K
57, Self-emp-inc, 412952, Some-college, 10, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 40, United-States, <=50K
61, Private, 29059, HS-grad, 9, Divorced, Sales, Unmarried, White, Female, 0, 2754, 25, United-States, <=50K
29, Local-gov, 187649, HS-grad, 9, Separated, Protective-serv, Other-relative, White, Female, 0, 0, 40, United-States, <=50K
28, Private, 115438, Bachelors, 13, Never-married, Adm-clerical, Own-child, White, Male, 0, 0, 40, United-States, <=50K
45, Self-emp-not-inc, 319122, Bachelors, 13, Never-married, Sales, Not-in-family, White, Male, 14084, 0, 45, United-States, >50K
42, Self-emp-inc, 152071, Prof-school, 15, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 60, Cuba, >50K
62, Self-emp-not-inc, 192236, Bachelors, 13, Divorced, Prof-specialty, Not-in-family, White, Female, 0, 0, 40, United-States, >50K
36, Local-gov, 61778, HS-grad, 9, Married-civ-spouse, Prof-specialty, Husband, White, Male, 15024, 0, 40, United-States, >50K
50, Private, 269095, Bachelors, 13, Divorced, Exec-managerial, Unmarried, White, Female, 0, 0, 40, United-States, >50K
30, Private, 118551, Bachelors, 13, Married-civ-spouse, Tech-support, Wife, White, Female, 0, 0, 16, United-States, >50K
57, Self-emp-inc, 282913, HS-grad, 9, Married-civ-spouse, Sales, Husband, White, Male, 0, 0, 40, Cuba, <=50K
39, Federal-gov, 290321, Assoc-voc, 11, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 50, United-States, <=50K
27, Private, 107458, Bachelors, 13, Never-married, Prof-specialty, Not-in-family, White, Male, 0, 0, 40, United-States, <=50K
51, Private, 53833, HS-grad, 9, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 46, United-States, >50K
36, Private, 171968, HS-grad, 9, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 40, United-States, <=50K
59, Private, 424468, HS-grad, 9, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 40, ?, <=50K
41, Self-emp-not-inc, 26598, HS-grad, 9, Divorced, Craft-repair, Not-in-family, White, Male, 0, 0, 40, United-States, <=50K
69, Private, 174474, 10th, 6, Separated, Machine-op-inspct, Not-in-family, White, Female, 0, 0, 28, Peru, <=50K
43, Private, 456236, HS-grad, 9, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 40, United-States, >50K
39, Private, 101020, 12th, 8, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, 0, 0, 40, United-States, <=50K
44, Local-gov, 24982, Some-college, 10, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 40, United-States, >50K
53, Private, 200576, 11th, 7, Divorced, Craft-repair, Other-relative, White, Female, 0, 0, 40, United-States, <=50K
37, Local-gov, 218490, HS-grad, 9, Married-civ-spouse, Protective-serv, Husband, White, Male, 7688, 0, 35, United-States, >50K
43, State-gov, 164790, Some-college, 10, Divorced, Adm-clerical, Not-in-family, Black, Male, 0, 0, 50, United-States, >50K
34, Private, 84119, HS-grad, 9, Never-married, Craft-repair, Own-child, White, Male, 0, 0, 40, United-States, <=50K
19, Private, 163015, Some-college, 10, Never-married, Sales, Own-child, White, Female, 0, 0, 20, United-States, <=50K
21, State-gov, 337766, Some-college, 10, Never-married, Prof-specialty, Own-child, White, Male, 0, 0, 20, United-States, <=50K
62, ?, 266037, Some-college, 10, Married-civ-spouse, ?, Husband, White, Male, 0, 0, 40, United-States, <=50K
38, Self-emp-inc, 206951, HS-grad, 9, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 65, United-States, <=50K
43, Self-emp-not-inc, 193494, Prof-school, 15, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 60, United-States, >50K
31, Private, 133770, Assoc-acdm, 12, Married-civ-spouse, Craft-repair, Not-in-family, Asian-Pac-Islander, Male, 0, 0, 50, United-States, >50K
27, Private, 168827, HS-grad, 9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, 0, 0, 40, United-States, <=50K
29, Self-emp-not-inc, 394927, Some-college, 10, Never-married, Craft-repair, Not-in-family, White, Male, 0, 0, 45, United-States, <=50K
64, Local-gov, 164876, HS-grad, 9, Divorced, Transport-moving, Unmarried, White, Male, 0, 0, 20, United-States, <=50K
58, Private, 172618, Prof-school, 15, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 45, United-States, >50K
46, Private, 110794, Some-college, 10, Never-married, Adm-clerical, Not-in-family, White, Female, 0, 0, 40, United-States, <=50K
48, Private, 94342, Bachelors, 13, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 55, United-States, <=50K
20, ?, 129240, Some-college, 10, Never-married, ?, Own-child, White, Female, 0, 0, 25, United-States, <=50K
55, Local-gov, 159028, HS-grad, 9, Married-civ-spouse, Transport-moving, Husband, White, Male, 0, 0, 40, United-States, <=50K
60, Private, 160625, Some-college, 10, Divorced, Craft-repair, Not-in-family, White, Male, 0, 0, 47, United-States, <=50K
50, Private, 121685, Some-college, 10, Married-civ-spouse, Sales, Husband, White, Male, 0, 0, 45, United-States, >50K
61, Federal-gov, 136787, Some-college, 10, Married-civ-spouse, Adm-clerical, Husband, White, Male, 0, 0, 40, United-States, >50K
32, Private, 185027, Some-college, 10, Married-civ-spouse, Sales, Husband, White, Male, 0, 0, 40, United-States, >50K
26, Private, 224943, Assoc-voc, 11, Never-married, Sales, Other-relative, Black, Male, 0, 0, 65, United-States, <=50K
44, Private, 373050, HS-grad, 9, Married-civ-spouse, Transport-moving, Husband, White, Male, 0, 0, 40, United-States, <=50K
22, Private, 208946, Some-college, 10, Never-married, Sales, Own-child, White, Male, 0, 0, 40, United-States, <=50K
32, Self-emp-inc, 275094, Bachelors, 13, Married-civ-spouse, Sales, Husband, White, Male, 7688, 0, 55, Mexico, >50K
46, Private, 471990, HS-grad, 9, Married-civ-spouse, Transport-moving, Husband, Black, Male, 0, 0, 46, United-States, >50K
26, Private, 375980, HS-grad, 9, Separated, Sales, Unmarried, Black, Female, 0, 0, 37, United-States, <=50K
29, Private, 255476, 7th-8th, 4, Never-married, Handlers-cleaners, Own-child, White, Male, 0, 0, 30, Mexico, <=50K
24, Private, 237386, Some-college, 10, Never-married, Exec-managerial, Not-in-family, White, Male, 0, 0, 42, United-States, <=50K
20, Private, 130840, 10th, 6, Never-married, Handlers-cleaners, Own-child, White, Male, 0, 0, 40, United-States, <=50K
33, Private, 166961, Some-college, 10, Never-married, Adm-clerical, Not-in-family, White, Female, 0, 0, 38, United-States, <=50K
45, Private, 462440, 11th, 7, Widowed, Other-service, Not-in-family, Black, Female, 0, 0, 20, United-States, <=50K
38, Private, 241153, Masters, 14, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 48, United-States, >50K
53, Federal-gov, 177647, HS-grad, 9, Married-civ-spouse, Tech-support, Husband, White, Male, 0, 0, 40, France, >50K
37, Local-gov, 105266, Some-college, 10, Married-civ-spouse, Transport-moving, Husband, White, Male, 0, 0, 40, United-States, <=50K
20, Private, 293726, Some-college, 10, Never-married, Craft-repair, Not-in-family, White, Male, 0, 0, 40, United-States, <=50K
46, Private, 178829, Masters, 14, Married-spouse-absent, Exec-managerial, Not-in-family, White, Male, 0, 0, 70, United-States, >50K
30, Private, 39386, Some-college, 10, Married-civ-spouse, Exec-managerial, Husband, Black, Male, 0, 0, 99, United-States, <=50K
47, Private, 119939, HS-grad, 9, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 40, United-States, >50K
47, Local-gov, 173938, Bachelors, 13, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 50, United-States, >50K
31, Private, 452405, Preschool, 1, Never-married, Other-service, Other-relative, White, Female, 0, 0, 35, Mexico, <=50K
68, Private, 170376, Bachelors, 13, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 40, United-States, >50K
50, Private, 129956, HS-grad, 9, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 48, United-States, >50K
67, ?, 36135, 11th, 7, Married-civ-spouse, ?, Husband, White, Male, 0, 0, 8, United-States, <=50K
30, State-gov, 312767, HS-grad, 9, Never-married, Sales, Unmarried, Black, Female, 0, 0, 40, United-States, <=50K
32, Private, 372317, 9th, 5, Separated, Other-service, Unmarried, White, Female, 0, 0, 23, Mexico, <=50K
17, Private, 130795, 10th, 6, Never-married, Other-service, Own-child, White, Male, 0, 0, 20, United-States, <=50K
44, Private, 95255, Some-college, 10, Divorced, Adm-clerical, Unmarried, White, Female, 0, 0, 40, United-States, <=50K
35, Private, 474136, HS-grad, 9, Never-married, Craft-repair, Not-in-family, White, Male, 0, 1408, 40, United-States, <=50K
37, Federal-gov, 334314, HS-grad, 9, Divorced, Adm-clerical, Unmarried, White, Female, 0, 0, 40, United-States, <=50K
33, Private, 198211, HS-grad, 9, Married-civ-spouse, Tech-support, Husband, White, Male, 0, 0, 40, United-States, <=50K
37, Self-emp-inc, 175360, HS-grad, 9, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 40, United-States, >50K
24, Private, 168997, Some-college, 10, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 40, United-States, <=50K
45, Self-emp-not-inc, 142871, Some-college, 10, Separated, Sales, Unmarried, White, Male, 0, 0, 50, United-States, <=50K
18, Private, 231562, HS-grad, 9, Never-married, Sales, Own-child, White, Female, 0, 0, 33, United-States, <=50K
66, Self-emp-inc, 76212, HS-grad, 9, Married-civ-spouse, Transport-moving, Husband, White, Male, 0, 0, 50, United-States, >50K
19, Private, 169853, HS-grad, 9, Never-married, Machine-op-inspct, Own-child, White, Male, 0, 0, 24, United-States, <=50K
64, ?, 207321, Some-college, 10, Married-civ-spouse, ?, Husband, White, Male, 0, 0, 20, United-States, <=50K
18, Private, 98044, 11th, 7, Never-married, Prof-specialty, Own-child, White, Female, 0, 0, 40, United-States, <=50K
35, Private, 407913, HS-grad, 9, Separated, Other-service, Not-in-family, Black, Male, 0, 0, 40, United-States, <=50K
21, Private, 209955, HS-grad, 9, Never-married, Craft-repair, Not-in-family, White, Male, 0, 0, 48, United-States, <=50K
24, Private, 225724, Bachelors, 13, Never-married, Adm-clerical, Own-child, White, Female, 0, 0, 20, United-States, <=50K
40, Private, 121956, Bachelors, 13, Married-spouse-absent, Prof-specialty, Not-in-family, Asian-Pac-Islander, Male, 13550, 0, 40, Cambodia, >50K
26, Private, 134004, Some-college, 10, Married-civ-spouse, Exec-managerial, Wife, White, Female, 0, 0, 40, United-States, <=50K
33, Local-gov, 161942, Bachelors, 13, Never-married, Adm-clerical, Not-in-family, White, Female, 1055, 0, 40, United-States, <=50K
39, Private, 305597, HS-grad, 9, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 40, United-States, >50K
32, Private, 211751, Assoc-voc, 11, Divorced, Other-service, Unmarried, Black, Female, 0, 0, 40, United-States, <=50K
42, Private, 240628, Bachelors, 13, Married-civ-spouse, Exec-managerial, Wife, White, Female, 0, 0, 40, United-States, >50K
26, Private, 167848, HS-grad, 9, Never-married, Machine-op-inspct, Not-in-family, Black, Male, 0, 0, 40, United-States, <=50K
44, Private, 165815, HS-grad, 9, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 60, United-States, >50K
39, Private, 25803, Some-college, 10, Married-civ-spouse, Sales, Husband, White, Male, 0, 0, 55, United-States, <=50K
18, Private, 88642, Some-college, 10, Never-married, Sales, Own-child, White, Male, 0, 0, 15, United-States, <=50K
23, Private, 378460, Some-college, 10, Never-married, Prof-specialty, Own-child, White, Male, 0, 0, 20, United-States, <=50K
54, Private, 50385, Bachelors, 13, Divorced, Exec-managerial, Not-in-family, Black, Female, 0, 0, 45, United-States, >50K
51, Private, 94432, HS-grad, 9, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 40, United-States, <=50K
55, Private, 179534, 11th, 7, Widowed, Handlers-cleaners, Unmarried, White, Female, 0, 0, 40, United-States, <=50K
56, Private, 102106, HS-grad, 9, Married-civ-spouse, Handlers-cleaners, Husband, White, Male, 0, 0, 40, United-States, <=50K
71, Self-emp-not-inc, 78786, 7th-8th, 4, Married-civ-spouse, Farming-fishing, Husband, White, Male, 0, 0, 10, United-States, <=50K
59, ?, 145574, Assoc-acdm, 12, Married-civ-spouse, ?, Husband, White, Male, 0, 0, 35, United-States, >50K
26, Private, 165673, HS-grad, 9, Married-civ-spouse, Sales, Husband, White, Male, 0, 0, 40, United-States, <=50K
58, Private, 317479, HS-grad, 9, Divorced, Machine-op-inspct, Not-in-family, Black, Female, 0, 0, 40, United-States, <=50K
65, Private, 105491, Bachelors, 13, Married-civ-spouse, Exec-managerial, Husband, White, Male, 99999, 0, 40, United-States, >50K
34, Self-emp-not-inc, 156809, Some-college, 10, Never-married, Craft-repair, Not-in-family, White, Male, 0, 1504, 60, United-States, <=50K
55, Self-emp-inc, 67433, HS-grad, 9, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 60, United-States, <=50K
